Temperature,Pressure,Methane,Nitrogen,M1_conc,M2_conc,Salttype,D_change,Phase,IFT
100,4,0,0,0,0,Water,,LIQUID,57.9
125,4,0,0,0,0,Water,,LIQUID,58.9
20,6,0,0,0,0,Water,,GAS,34.9
25,6,0,0,0,0,Water,,GAS,36.2
26,6,0,0,0,0,Water,,GAS,36.5
28,6,0,0,0,0,Water,,GAS,37.6
30,6,0,0,0,0,Water,,GAS,39.7
32,6,0,0,0,0,Water,,LIQUID,40.7
34,6,0,0,0,0,Water,,LIQUID,31.5
35,6,0,0,0,0,Water,,LIQUID,31.9
36,6,0,0,0,0,Water,,LIQUID,32.1
41,6,0,0,0,0,Water,,LIQUID,33.2
